N-gram-feat-comb,char N-gram,word N-gram,func N-gram,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
0-0-4 char-word-func,0,0,4,1020,relat,LogisticRegression,0.55,0.5,0.5,0.0,0.57,0.5,0.63,0.0,0.73
0-0-4 char-word-func,0,0,4,1020,relat,LinearSVC,0.55,0.5,0.5,0.0,0.57,0.5,0.0,0.0,0.73
0-0-4 char-word-func,0,0,4,1020,relat,SVC,0.55,0.5,0.51,0.0,0.57,0.5,0.0,0.0,0.73
0-0-4 char-word-func,0,0,4,1020,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.57,0.57,0.49,0.64
0-0-4 char-word-func,0,0,4,1020,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.51,0.56,0.05,0.73
0-0-4 char-word-func,0,0,4,1020,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.58,0.51,0.63,0.07,0.73
0-0-4 char-word-func,0,0,4,1020,relat,BernoulliNB,0.54,0.54,0.55,0.47,0.6,0.57,0.61,0.45,0.68
0-0-4 char-word-func,0,0,4,1020,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.6,0.56,0.57,0.36,0.71
0-0-4 char-word-func,0,0,4,1020,none (tf),LogisticRegression,0.56,0.52,0.58,0.1,0.58,0.51,0.61,0.1,0.73
0-0-4 char-word-func,0,0,4,1020,none (tf),LinearSVC,0.6,0.58,0.58,0.41,0.61,0.56,0.0,0.34,0.72
0-0-4 char-word-func,0,0,4,1020,none (tf),SVC,0.55,0.5,0.59,0.0,0.57,0.5,0.0,0.0,0.73
0-0-4 char-word-func,0,0,4,1020,none (tf),DecisionTreeClassifier,0.52,0.52,0.51,0.46,0.58,0.57,0.57,0.49,0.64
0-0-4 char-word-func,0,0,4,1020,none (tf),RandomForestClassifier,0.55,0.51,0.6,0.06,0.58,0.51,0.56,0.05,0.73
0-0-4 char-word-func,0,0,4,1020,none (tf),MultinomialNB,0.56,0.56,0.56,0.51,0.62,0.6,0.64,0.52,0.68
0-0-4 char-word-func,0,0,4,1020,none (tf),BernoulliNB,0.54,0.54,0.55,0.47,0.6,0.57,0.61,0.45,0.68
0-0-4 char-word-func,0,0,4,1020,none (tf),AdaBoostClassifier,0.58,0.55,0.55,0.4,0.6,0.56,0.57,0.36,0.71
0-0-5 char-word-func,0,0,5,136,tfidf,LogisticRegression,0.55,0.5,0.55,0.0,0.57,0.5,0.54,0.0,0.73
0-0-5 char-word-func,0,0,5,136,tfidf,LinearSVC,0.56,0.52,0.55,0.06,0.58,0.51,0.0,0.08,0.73
0-0-5 char-word-func,0,0,5,136,tfidf,SVC,0.55,0.5,0.55,0.0,0.57,0.5,0.0,0.0,0.73
0-0-5 char-word-func,0,0,5,136,tfidf,DecisionTreeClassifier,0.57,0.54,0.54,0.31,0.56,0.51,0.56,0.23,0.68
0-0-5 char-word-func,0,0,5,136,tfidf,RandomForestClassifier,0.58,0.53,0.53,0.13,0.58,0.51,0.51,0.1,0.73
0-0-5 char-word-func,0,0,5,136,tfidf,MultinomialNB,0.58,0.55,0.55,0.34,0.57,0.52,0.53,0.21,0.71
0-0-5 char-word-func,0,0,5,136,tfidf,BernoulliNB,0.57,0.55,0.54,0.36,0.56,0.5,0.53,0.19,0.69
0-0-5 char-word-func,0,0,5,136,tfidf,AdaBoostClassifier,0.56,0.52,0.52,0.23,0.57,0.52,0.54,0.21,0.71
0-0-5 char-word-func,0,0,5,136,norm,LogisticRegression,0.55,0.5,0.54,0.0,0.57,0.5,0.54,0.0,0.73
0-0-5 char-word-func,0,0,5,136,norm,LinearSVC,0.57,0.52,0.54,0.12,0.59,0.52,0.0,0.07,0.74
0-0-5 char-word-func,0,0,5,136,norm,SVC,0.55,0.5,0.54,0.0,0.57,0.5,0.0,0.0,0.73
0-0-5 char-word-func,0,0,5,136,norm,DecisionTreeClassifier,0.56,0.54,0.53,0.34,0.55,0.5,0.51,0.21,0.66
0-0-5 char-word-func,0,0,5,136,norm,RandomForestClassifier,0.57,0.53,0.53,0.12,0.58,0.51,0.53,0.1,0.72
0-0-5 char-word-func,0,0,5,136,norm,MultinomialNB,0.57,0.54,0.55,0.34,0.57,0.52,0.55,0.2,0.71
0-0-5 char-word-func,0,0,5,136,norm,BernoulliNB,0.57,0.55,0.54,0.36,0.56,0.5,0.53,0.19,0.69
0-0-5 char-word-func,0,0,5,136,norm,AdaBoostClassifier,0.57,0.54,0.54,0.27,0.56,0.51,0.52,0.17,0.7
0-0-5 char-word-func,0,0,5,136,relat,LogisticRegression,0.55,0.5,0.53,0.0,0.57,0.5,0.53,0.0,0.73
0-0-5 char-word-func,0,0,5,136,relat,LinearSVC,0.55,0.5,0.53,0.0,0.57,0.5,0.0,0.0,0.73
0-0-5 char-word-func,0,0,5,136,relat,SVC,0.55,0.5,0.54,0.0,0.57,0.5,0.0,0.0,0.73
0-0-5 char-word-func,0,0,5,136,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.55,0.5,0.51,0.21,0.66
0-0-5 char-word-func,0,0,5,136,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.51,0.53,0.1,0.72
0-0-5 char-word-func,0,0,5,136,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.58,0.5,0.54,0.02,0.73
0-0-5 char-word-func,0,0,5,136,relat,BernoulliNB,0.57,0.55,0.54,0.36,0.56,0.5,0.53,0.19,0.69
0-0-5 char-word-func,0,0,5,136,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.56,0.51,0.52,0.17,0.7
0-0-5 char-word-func,0,0,5,136,none (tf),LogisticRegression,0.55,0.5,0.54,0.0,0.57,0.5,0.54,0.0,0.73
0-0-5 char-word-func,0,0,5,136,none (tf),LinearSVC,0.58,0.53,0.54,0.16,0.58,0.52,0.0,0.13,0.72
0-0-5 char-word-func,0,0,5,136,none (tf),SVC,0.55,0.5,0.54,0.0,0.57,0.5,0.0,0.0,0.73
0-0-5 char-word-func,0,0,5,136,none (tf),DecisionTreeClassifier,0.56,0.54,0.53,0.34,0.55,0.5,0.51,0.21,0.66
0-0-5 char-word-func,0,0,5,136,none (tf),RandomForestClassifier,0.57,0.53,0.53,0.12,0.58,0.51,0.53,0.1,0.72
0-0-5 char-word-func,0,0,5,136,none (tf),MultinomialNB,0.57,0.54,0.55,0.36,0.56,0.51,0.54,0.22,0.7
0-0-5 char-word-func,0,0,5,136,none (tf),BernoulliNB,0.57,0.55,0.54,0.36,0.56,0.5,0.53,0.19,0.69
0-0-5 char-word-func,0,0,5,136,none (tf),AdaBoostClassifier,0.57,0.54,0.54,0.27,0.56,0.51,0.52,0.17,0.7
0-0-6 char-word-func,0,0,6,18,tfidf,LogisticRegression,0.55,0.5,0.53,0.0,0.57,0.5,0.52,0.0,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,LinearSVC,0.55,0.5,0.53,0.0,0.58,0.51,0.0,0.04,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,SVC,0.55,0.5,0.53,0.0,0.57,0.5,0.0,0.0,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,DecisionTreeClassifier,0.57,0.52,0.52,0.16,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,RandomForestClassifier,0.56,0.52,0.52,0.09,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,MultinomialNB,0.57,0.53,0.53,0.16,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,BernoulliNB,0.57,0.53,0.52,0.19,0.58,0.52,0.53,0.08,0.73
0-0-6 char-word-func,0,0,6,18,tfidf,AdaBoostClassifier,0.57,0.53,0.53,0.17,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,norm,LogisticRegression,0.55,0.5,0.52,0.0,0.57,0.5,0.53,0.0,0.73
0-0-6 char-word-func,0,0,6,18,norm,LinearSVC,0.55,0.5,0.52,0.01,0.58,0.51,0.0,0.04,0.73
0-0-6 char-word-func,0,0,6,18,norm,SVC,0.55,0.5,0.53,0.0,0.57,0.5,0.0,0.0,0.73
0-0-6 char-word-func,0,0,6,18,norm,DecisionTreeClassifier,0.57,0.53,0.53,0.17,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,norm,RandomForestClassifier,0.56,0.52,0.53,0.11,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,norm,MultinomialNB,0.57,0.53,0.52,0.16,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,norm,BernoulliNB,0.57,0.53,0.52,0.19,0.58,0.52,0.53,0.08,0.73
0-0-6 char-word-func,0,0,6,18,norm,AdaBoostClassifier,0.57,0.53,0.53,0.18,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,relat,LogisticRegression,0.55,0.5,0.52,0.0,0.57,0.5,0.53,0.0,0.73
0-0-6 char-word-func,0,0,6,18,relat,LinearSVC,0.55,0.5,0.52,0.0,0.57,0.5,0.0,0.0,0.73
0-0-6 char-word-func,0,0,6,18,relat,SVC,0.55,0.5,0.52,0.0,0.57,0.5,0.0,0.0,0.73
0-0-6 char-word-func,0,0,6,18,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.57,0.5,0.52,0.0,0.73
0-0-6 char-word-func,0,0,6,18,relat,BernoulliNB,0.57,0.53,0.52,0.19,0.58,0.52,0.53,0.08,0.73
0-0-6 char-word-func,0,0,6,18,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),LogisticRegression,0.55,0.5,0.52,0.0,0.57,0.5,0.53,0.0,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),LinearSVC,0.55,0.5,0.52,0.01,0.58,0.51,0.0,0.04,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),SVC,0.55,0.5,0.53,0.0,0.57,0.5,0.0,0.0,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),DecisionTreeClassifier,0.57,0.53,0.53,0.17,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),RandomForestClassifier,0.56,0.52,0.53,0.11,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),MultinomialNB,0.57,0.53,0.52,0.16,0.58,0.52,0.52,0.08,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),BernoulliNB,0.57,0.53,0.52,0.19,0.58,0.52,0.53,0.08,0.73
0-0-6 char-word-func,0,0,6,18,none (tf),AdaBoostClassifier,0.57,0.53,0.53,0.18,0.58,0.52,0.52,0.08,0.73
1-1-1 char-word-func,1,1,1,4414,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.83,0.0,0.73
1-1-1 char-word-func,1,1,1,4414,tfidf,LinearSVC,0.55,0.5,0.76,0.0,0.57,0.5,0.0,0.0,0.73
1-1-1 char-word-func,1,1,1,4414,tfidf,SVC,0.55,0.5,0.77,0.0,0.57,0.5,0.0,0.0,0.73
1-1-1 char-word-func,1,1,1,4414,tfidf,DecisionTreeClassifier,0.73,0.73,0.73,0.7,0.81,0.81,0.81,0.78,0.83
1-1-1 char-word-func,1,1,1,4414,tfidf,RandomForestClassifier,0.6,0.56,0.79,0.24,0.64,0.58,0.85,0.28,0.76
1-1-1 char-word-func,1,1,1,4414,tfidf,MultinomialNB,0.55,0.5,0.79,0.0,0.57,0.5,0.89,0.0,0.73
1-1-1 char-word-func,1,1,1,4414,tfidf,BernoulliNB,0.59,0.61,0.72,0.65,0.68,0.7,0.83,0.69,0.66
1-1-1 char-word-func,1,1,1,4414,tfidf,AdaBoostClassifier,0.78,0.78,0.86,0.76,0.85,0.84,0.93,0.82,0.87
1-1-1 char-word-func,1,1,1,4414,norm,LogisticRegression,0.66,0.63,0.77,0.44,0.72,0.67,0.86,0.52,0.8
1-1-1 char-word-func,1,1,1,4414,norm,LinearSVC,0.73,0.73,0.81,0.69,0.83,0.8,0.0,0.76,0.87
1-1-1 char-word-func,1,1,1,4414,norm,SVC,0.58,0.53,0.77,0.19,0.69,0.63,0.0,0.42,0.79
1-1-1 char-word-func,1,1,1,4414,norm,DecisionTreeClassifier,0.72,0.72,0.72,0.7,0.81,0.8,0.8,0.76,0.84
1-1-1 char-word-func,1,1,1,4414,norm,RandomForestClassifier,0.61,0.56,0.75,0.23,0.62,0.56,0.83,0.21,0.75
1-1-1 char-word-func,1,1,1,4414,norm,MultinomialNB,0.55,0.57,0.64,0.62,0.74,0.73,0.84,0.69,0.77
1-1-1 char-word-func,1,1,1,4414,norm,BernoulliNB,0.59,0.61,0.72,0.65,0.68,0.7,0.83,0.69,0.66
1-1-1 char-word-func,1,1,1,4414,norm,AdaBoostClassifier,0.76,0.76,0.85,0.75,0.85,0.84,0.93,0.81,0.87
1-1-1 char-word-func,1,1,1,4414,relat,LogisticRegression,0.55,0.5,0.56,0.0,0.57,0.5,0.75,0.0,0.73
1-1-1 char-word-func,1,1,1,4414,relat,LinearSVC,0.52,0.48,0.56,0.14,0.58,0.5,0.0,0.02,0.73
1-1-1 char-word-func,1,1,1,4414,relat,SVC,0.55,0.5,0.53,0.0,0.57,0.5,0.0,0.0,0.73
1-1-1 char-word-func,1,1,1,4414,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.81,0.8,0.8,0.76,0.84
1-1-1 char-word-func,1,1,1,4414,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.62,0.56,0.83,0.21,0.75
1-1-1 char-word-func,1,1,1,4414,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.69,0.66,0.75,0.54,0.77
1-1-1 char-word-func,1,1,1,4414,relat,BernoulliNB,0.59,0.61,0.72,0.65,0.68,0.7,0.83,0.69,0.66
1-1-1 char-word-func,1,1,1,4414,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.85,0.84,0.93,0.81,0.87
1-1-1 char-word-func,1,1,1,4414,none (tf),LogisticRegression,0.74,0.75,0.83,0.73,0.84,0.82,0.91,0.79,0.87
1-1-1 char-word-func,1,1,1,4414,none (tf),LinearSVC,0.74,0.74,0.82,0.72,0.82,0.82,0.0,0.79,0.85
1-1-1 char-word-func,1,1,1,4414,none (tf),SVC,0.74,0.74,0.82,0.72,0.83,0.83,0.0,0.8,0.86
1-1-1 char-word-func,1,1,1,4414,none (tf),DecisionTreeClassifier,0.73,0.72,0.72,0.7,0.81,0.8,0.8,0.76,0.84
1-1-1 char-word-func,1,1,1,4414,none (tf),RandomForestClassifier,0.6,0.56,0.75,0.22,0.62,0.56,0.83,0.21,0.75
1-1-1 char-word-func,1,1,1,4414,none (tf),MultinomialNB,0.63,0.65,0.74,0.68,0.76,0.76,0.85,0.74,0.77
1-1-1 char-word-func,1,1,1,4414,none (tf),BernoulliNB,0.59,0.61,0.72,0.65,0.68,0.7,0.83,0.69,0.66
1-1-1 char-word-func,1,1,1,4414,none (tf),AdaBoostClassifier,0.76,0.76,0.84,0.74,0.85,0.84,0.93,0.81,0.87
2-2-2 char-word-func,2,2,2,11448,tfidf,LogisticRegression,0.55,0.5,0.76,0.0,0.57,0.5,0.87,0.0,0.73
2-2-2 char-word-func,2,2,2,11448,tfidf,LinearSVC,0.55,0.5,0.76,0.01,0.57,0.5,0.0,0.0,0.73
2-2-2 char-word-func,2,2,2,11448,tfidf,SVC,0.55,0.5,0.8,0.0,0.57,0.5,0.0,0.0,0.73
2-2-2 char-word-func,2,2,2,11448,tfidf,DecisionTreeClassifier,0.71,0.71,0.71,0.68,0.78,0.76,0.76,0.72,0.82
2-2-2 char-word-func,2,2,2,11448,tfidf,RandomForestClassifier,0.61,0.57,0.84,0.22,0.72,0.67,0.93,0.52,0.8
2-2-2 char-word-func,2,2,2,11448,tfidf,MultinomialNB,0.55,0.5,0.78,0.02,0.58,0.51,0.9,0.04,0.73
2-2-2 char-word-func,2,2,2,11448,tfidf,BernoulliNB,0.64,0.66,0.75,0.69,0.73,0.74,0.88,0.72,0.73
2-2-2 char-word-func,2,2,2,11448,tfidf,AdaBoostClassifier,0.76,0.76,0.84,0.74,0.86,0.85,0.91,0.83,0.88
2-2-2 char-word-func,2,2,2,11448,norm,LogisticRegression,0.65,0.63,0.74,0.5,0.77,0.74,0.85,0.64,0.84
2-2-2 char-word-func,2,2,2,11448,norm,LinearSVC,0.73,0.72,0.79,0.69,0.84,0.82,0.0,0.78,0.87
2-2-2 char-word-func,2,2,2,11448,norm,SVC,0.65,0.63,0.77,0.49,0.71,0.66,0.0,0.51,0.79
2-2-2 char-word-func,2,2,2,11448,norm,DecisionTreeClassifier,0.75,0.74,0.74,0.72,0.78,0.77,0.77,0.72,0.82
2-2-2 char-word-func,2,2,2,11448,norm,RandomForestClassifier,0.63,0.59,0.82,0.28,0.73,0.68,0.92,0.54,0.81
2-2-2 char-word-func,2,2,2,11448,norm,MultinomialNB,0.61,0.62,0.68,0.65,0.82,0.8,0.87,0.77,0.85
2-2-2 char-word-func,2,2,2,11448,norm,BernoulliNB,0.64,0.66,0.75,0.69,0.73,0.74,0.88,0.72,0.73
2-2-2 char-word-func,2,2,2,11448,norm,AdaBoostClassifier,0.81,0.8,0.89,0.78,0.85,0.84,0.93,0.82,0.88
2-2-2 char-word-func,2,2,2,11448,relat,LogisticRegression,0.55,0.5,0.55,0.0,0.57,0.5,0.79,0.0,0.73
2-2-2 char-word-func,2,2,2,11448,relat,LinearSVC,0.54,0.51,0.56,0.22,0.57,0.5,0.0,0.0,0.73
2-2-2 char-word-func,2,2,2,11448,relat,SVC,0.55,0.5,0.56,0.0,0.57,0.5,0.0,0.0,0.73
2-2-2 char-word-func,2,2,2,11448,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.78,0.77,0.77,0.72,0.82
2-2-2 char-word-func,2,2,2,11448,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.73,0.68,0.92,0.54,0.81
2-2-2 char-word-func,2,2,2,11448,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.76,0.74,0.81,0.68,0.8
2-2-2 char-word-func,2,2,2,11448,relat,BernoulliNB,0.64,0.66,0.75,0.69,0.73,0.74,0.88,0.72,0.73
2-2-2 char-word-func,2,2,2,11448,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.85,0.84,0.93,0.82,0.88
2-2-2 char-word-func,2,2,2,11448,none (tf),LogisticRegression,0.68,0.68,0.76,0.66,0.78,0.77,0.83,0.72,0.82
2-2-2 char-word-func,2,2,2,11448,none (tf),LinearSVC,0.69,0.69,0.76,0.67,0.74,0.73,0.0,0.68,0.78
2-2-2 char-word-func,2,2,2,11448,none (tf),SVC,0.68,0.68,0.75,0.66,0.75,0.74,0.0,0.68,0.8
2-2-2 char-word-func,2,2,2,11448,none (tf),DecisionTreeClassifier,0.75,0.74,0.74,0.72,0.78,0.77,0.77,0.72,0.82
2-2-2 char-word-func,2,2,2,11448,none (tf),RandomForestClassifier,0.63,0.59,0.82,0.28,0.73,0.68,0.92,0.54,0.81
2-2-2 char-word-func,2,2,2,11448,none (tf),MultinomialNB,0.69,0.71,0.79,0.72,0.84,0.83,0.92,0.81,0.86
2-2-2 char-word-func,2,2,2,11448,none (tf),BernoulliNB,0.64,0.66,0.75,0.69,0.73,0.74,0.88,0.72,0.73
2-2-2 char-word-func,2,2,2,11448,none (tf),AdaBoostClassifier,0.81,0.8,0.89,0.78,0.85,0.84,0.93,0.82,0.88
3-3-3 char-word-func,3,3,3,14577,tfidf,LogisticRegression,0.55,0.5,0.67,0.0,0.57,0.5,0.8,0.0,0.73
3-3-3 char-word-func,3,3,3,14577,tfidf,LinearSVC,0.55,0.5,0.67,0.01,0.57,0.5,0.0,0.0,0.73
3-3-3 char-word-func,3,3,3,14577,tfidf,SVC,0.55,0.5,0.71,0.0,0.57,0.5,0.0,0.0,0.73
3-3-3 char-word-func,3,3,3,14577,tfidf,DecisionTreeClassifier,0.71,0.71,0.71,0.69,0.79,0.78,0.78,0.75,0.82
3-3-3 char-word-func,3,3,3,14577,tfidf,RandomForestClassifier,0.58,0.54,0.79,0.16,0.68,0.62,0.9,0.39,0.78
3-3-3 char-word-func,3,3,3,14577,tfidf,MultinomialNB,0.55,0.5,0.68,0.03,0.58,0.5,0.84,0.02,0.73
3-3-3 char-word-func,3,3,3,14577,tfidf,BernoulliNB,0.62,0.64,0.7,0.66,0.69,0.72,0.82,0.71,0.68
3-3-3 char-word-func,3,3,3,14577,tfidf,AdaBoostClassifier,0.76,0.76,0.83,0.73,0.84,0.83,0.89,0.8,0.87
3-3-3 char-word-func,3,3,3,14577,norm,LogisticRegression,0.69,0.67,0.78,0.58,0.81,0.77,0.9,0.71,0.85
3-3-3 char-word-func,3,3,3,14577,norm,LinearSVC,0.74,0.73,0.82,0.71,0.86,0.84,0.0,0.81,0.89
3-3-3 char-word-func,3,3,3,14577,norm,SVC,0.69,0.67,0.8,0.59,0.76,0.73,0.0,0.64,0.82
3-3-3 char-word-func,3,3,3,14577,norm,DecisionTreeClassifier,0.76,0.76,0.76,0.73,0.79,0.78,0.78,0.75,0.83
3-3-3 char-word-func,3,3,3,14577,norm,RandomForestClassifier,0.58,0.54,0.82,0.14,0.65,0.59,0.91,0.32,0.77
3-3-3 char-word-func,3,3,3,14577,norm,MultinomialNB,0.68,0.69,0.76,0.7,0.84,0.83,0.92,0.8,0.87
3-3-3 char-word-func,3,3,3,14577,norm,BernoulliNB,0.62,0.64,0.7,0.66,0.69,0.72,0.82,0.71,0.68
3-3-3 char-word-func,3,3,3,14577,norm,AdaBoostClassifier,0.76,0.76,0.84,0.74,0.82,0.81,0.9,0.77,0.85
3-3-3 char-word-func,3,3,3,14577,relat,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.87,0.0,0.73
3-3-3 char-word-func,3,3,3,14577,relat,LinearSVC,0.59,0.56,0.65,0.32,0.6,0.53,0.0,0.1,0.74
3-3-3 char-word-func,3,3,3,14577,relat,SVC,0.55,0.5,0.66,0.0,0.57,0.5,0.0,0.0,0.73
3-3-3 char-word-func,3,3,3,14577,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.79,0.78,0.78,0.75,0.83
3-3-3 char-word-func,3,3,3,14577,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.65,0.59,0.91,0.32,0.77
3-3-3 char-word-func,3,3,3,14577,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.84,0.82,0.9,0.78,0.87
3-3-3 char-word-func,3,3,3,14577,relat,BernoulliNB,0.62,0.64,0.7,0.66,0.69,0.72,0.82,0.71,0.68
3-3-3 char-word-func,3,3,3,14577,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.82,0.81,0.9,0.77,0.85
3-3-3 char-word-func,3,3,3,14577,none (tf),LogisticRegression,0.66,0.66,0.71,0.64,0.74,0.73,0.79,0.68,0.79
3-3-3 char-word-func,3,3,3,14577,none (tf),LinearSVC,0.62,0.63,0.7,0.61,0.73,0.72,0.0,0.67,0.78
3-3-3 char-word-func,3,3,3,14577,none (tf),SVC,0.62,0.62,0.68,0.6,0.73,0.72,0.0,0.66,0.78
3-3-3 char-word-func,3,3,3,14577,none (tf),DecisionTreeClassifier,0.76,0.76,0.76,0.73,0.79,0.78,0.78,0.75,0.83
3-3-3 char-word-func,3,3,3,14577,none (tf),RandomForestClassifier,0.58,0.54,0.82,0.14,0.65,0.59,0.91,0.32,0.77
3-3-3 char-word-func,3,3,3,14577,none (tf),MultinomialNB,0.67,0.68,0.73,0.69,0.79,0.79,0.88,0.77,0.82
3-3-3 char-word-func,3,3,3,14577,none (tf),BernoulliNB,0.62,0.64,0.7,0.66,0.69,0.72,0.82,0.71,0.68
3-3-3 char-word-func,3,3,3,14577,none (tf),AdaBoostClassifier,0.76,0.76,0.84,0.74,0.82,0.81,0.9,0.77,0.85
4-4-4 char-word-func,4,4,4,22548,tfidf,LogisticRegression,0.55,0.5,0.62,0.0,0.57,0.5,0.76,0.0,0.73
4-4-4 char-word-func,4,4,4,22548,tfidf,LinearSVC,0.55,0.5,0.62,0.0,0.57,0.5,0.0,0.0,0.73
4-4-4 char-word-func,4,4,4,22548,tfidf,SVC,0.55,0.5,0.64,0.0,0.57,0.5,0.0,0.0,0.73
4-4-4 char-word-func,4,4,4,22548,tfidf,DecisionTreeClassifier,0.62,0.61,0.61,0.55,0.63,0.62,0.62,0.57,0.68
4-4-4 char-word-func,4,4,4,22548,tfidf,RandomForestClassifier,0.56,0.52,0.69,0.1,0.61,0.54,0.83,0.15,0.74
4-4-4 char-word-func,4,4,4,22548,tfidf,MultinomialNB,0.55,0.51,0.61,0.17,0.58,0.51,0.78,0.04,0.73
4-4-4 char-word-func,4,4,4,22548,tfidf,BernoulliNB,0.58,0.59,0.64,0.63,0.64,0.66,0.74,0.66,0.62
4-4-4 char-word-func,4,4,4,22548,tfidf,AdaBoostClassifier,0.67,0.66,0.73,0.6,0.7,0.68,0.76,0.62,0.75
4-4-4 char-word-func,4,4,4,22548,norm,LogisticRegression,0.65,0.64,0.72,0.55,0.77,0.73,0.87,0.64,0.83
4-4-4 char-word-func,4,4,4,22548,norm,LinearSVC,0.67,0.67,0.75,0.62,0.82,0.8,0.0,0.75,0.86
4-4-4 char-word-func,4,4,4,22548,norm,SVC,0.65,0.64,0.75,0.56,0.75,0.71,0.0,0.59,0.82
4-4-4 char-word-func,4,4,4,22548,norm,DecisionTreeClassifier,0.63,0.63,0.63,0.59,0.66,0.65,0.65,0.6,0.7
4-4-4 char-word-func,4,4,4,22548,norm,RandomForestClassifier,0.56,0.51,0.71,0.08,0.59,0.52,0.87,0.07,0.74
4-4-4 char-word-func,4,4,4,22548,norm,MultinomialNB,0.61,0.63,0.68,0.65,0.79,0.78,0.87,0.75,0.82
4-4-4 char-word-func,4,4,4,22548,norm,BernoulliNB,0.58,0.59,0.64,0.63,0.64,0.66,0.74,0.66,0.62
4-4-4 char-word-func,4,4,4,22548,norm,AdaBoostClassifier,0.69,0.69,0.76,0.64,0.73,0.71,0.81,0.66,0.77
4-4-4 char-word-func,4,4,4,22548,relat,LogisticRegression,0.55,0.5,0.62,0.01,0.57,0.5,0.82,0.0,0.73
4-4-4 char-word-func,4,4,4,22548,relat,LinearSVC,0.56,0.54,0.62,0.35,0.58,0.51,0.0,0.05,0.73
4-4-4 char-word-func,4,4,4,22548,relat,SVC,0.55,0.5,0.6,0.0,0.57,0.5,0.0,0.0,0.73
4-4-4 char-word-func,4,4,4,22548,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.66,0.65,0.65,0.6,0.7
4-4-4 char-word-func,4,4,4,22548,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.59,0.52,0.87,0.07,0.74
4-4-4 char-word-func,4,4,4,22548,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.79,0.77,0.85,0.73,0.82
4-4-4 char-word-func,4,4,4,22548,relat,BernoulliNB,0.58,0.59,0.64,0.63,0.64,0.66,0.74,0.66,0.62
