N-gram-feat-comb,char N-gram,word N-gram,func N-gram,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
2-1-0 char-word-func,2,1,0,5575,none (tf),DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.8,0.79,0.79,0.76,0.83
2-1-0 char-word-func,2,1,0,5575,none (tf),RandomForestClassifier,0.64,0.6,0.86,0.31,0.74,0.7,0.93,0.57,0.82
2-1-0 char-word-func,2,1,0,5575,none (tf),MultinomialNB,0.66,0.67,0.76,0.7,0.81,0.81,0.88,0.79,0.82
2-1-0 char-word-func,2,1,0,5575,none (tf),BernoulliNB,0.67,0.69,0.79,0.72,0.73,0.74,0.89,0.73,0.72
2-1-0 char-word-func,2,1,0,5575,none (tf),AdaBoostClassifier,0.8,0.8,0.88,0.79,0.83,0.82,0.92,0.79,0.86
3-1-0 char-word-func,3,1,0,11947,tfidf,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.79,0.0,0.73
3-1-0 char-word-func,3,1,0,11947,tfidf,LinearSVC,0.55,0.5,0.66,0.01,0.57,0.5,0.0,0.0,0.73
3-1-0 char-word-func,3,1,0,11947,tfidf,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
3-1-0 char-word-func,3,1,0,11947,tfidf,DecisionTreeClassifier,0.68,0.68,0.68,0.66,0.8,0.79,0.79,0.76,0.82
3-1-0 char-word-func,3,1,0,11947,tfidf,RandomForestClassifier,0.58,0.54,0.8,0.15,0.68,0.63,0.91,0.41,0.78
3-1-0 char-word-func,3,1,0,11947,tfidf,MultinomialNB,0.56,0.52,0.65,0.1,0.58,0.51,0.82,0.05,0.73
3-1-0 char-word-func,3,1,0,11947,tfidf,BernoulliNB,0.62,0.64,0.69,0.67,0.69,0.72,0.81,0.71,0.67
3-1-0 char-word-func,3,1,0,11947,tfidf,AdaBoostClassifier,0.77,0.76,0.82,0.73,0.84,0.83,0.89,0.8,0.87
3-1-0 char-word-func,3,1,0,11947,norm,LogisticRegression,0.69,0.68,0.79,0.61,0.84,0.81,0.9,0.76,0.87
3-1-0 char-word-func,3,1,0,11947,norm,LinearSVC,0.72,0.72,0.82,0.69,0.87,0.85,0.0,0.83,0.9
3-1-0 char-word-func,3,1,0,11947,norm,SVC,0.68,0.67,0.79,0.59,0.78,0.74,0.0,0.65,0.84
3-1-0 char-word-func,3,1,0,11947,norm,DecisionTreeClassifier,0.7,0.7,0.7,0.68,0.82,0.81,0.81,0.78,0.84
3-1-0 char-word-func,3,1,0,11947,norm,RandomForestClassifier,0.57,0.53,0.79,0.12,0.69,0.64,0.92,0.44,0.79
3-1-0 char-word-func,3,1,0,11947,norm,MultinomialNB,0.63,0.64,0.75,0.66,0.82,0.81,0.9,0.78,0.84
3-1-0 char-word-func,3,1,0,11947,norm,BernoulliNB,0.62,0.64,0.69,0.67,0.69,0.72,0.81,0.71,0.67
3-1-0 char-word-func,3,1,0,11947,norm,AdaBoostClassifier,0.79,0.79,0.85,0.77,0.85,0.84,0.91,0.81,0.87
3-1-0 char-word-func,3,1,0,11947,relat,LogisticRegression,0.55,0.51,0.66,0.03,0.57,0.5,0.83,0.0,0.73
3-1-0 char-word-func,3,1,0,11947,relat,LinearSVC,0.58,0.55,0.66,0.3,0.6,0.53,0.0,0.1,0.74
3-1-0 char-word-func,3,1,0,11947,relat,SVC,0.55,0.5,0.63,0.0,0.57,0.5,0.0,0.0,0.73
3-1-0 char-word-func,3,1,0,11947,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.82,0.81,0.81,0.78,0.84
3-1-0 char-word-func,3,1,0,11947,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.69,0.64,0.92,0.44,0.79
3-1-0 char-word-func,3,1,0,11947,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.79,0.76,0.86,0.71,0.84
3-1-0 char-word-func,3,1,0,11947,relat,BernoulliNB,0.62,0.64,0.69,0.67,0.69,0.72,0.81,0.71,0.67
3-1-0 char-word-func,3,1,0,11947,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.85,0.84,0.91,0.81,0.87
3-1-0 char-word-func,3,1,0,11947,none (tf),LogisticRegression,0.66,0.66,0.71,0.63,0.74,0.73,0.79,0.68,0.79
3-1-0 char-word-func,3,1,0,11947,none (tf),LinearSVC,0.62,0.62,0.7,0.61,0.74,0.72,0.0,0.68,0.78
3-1-0 char-word-func,3,1,0,11947,none (tf),SVC,0.61,0.61,0.67,0.59,0.71,0.7,0.0,0.63,0.76
3-1-0 char-word-func,3,1,0,11947,none (tf),DecisionTreeClassifier,0.7,0.7,0.7,0.68,0.82,0.81,0.81,0.78,0.84
3-1-0 char-word-func,3,1,0,11947,none (tf),RandomForestClassifier,0.57,0.53,0.79,0.12,0.69,0.64,0.92,0.44,0.79
3-1-0 char-word-func,3,1,0,11947,none (tf),MultinomialNB,0.64,0.65,0.7,0.66,0.75,0.76,0.83,0.73,0.76
3-1-0 char-word-func,3,1,0,11947,none (tf),BernoulliNB,0.62,0.64,0.69,0.67,0.69,0.72,0.81,0.71,0.67
3-1-0 char-word-func,3,1,0,11947,none (tf),AdaBoostClassifier,0.79,0.79,0.85,0.77,0.85,0.84,0.91,0.81,0.87
4-1-0 char-word-func,4,1,0,24701,tfidf,LogisticRegression,0.55,0.5,0.61,0.0,0.57,0.5,0.75,0.0,0.73
4-1-0 char-word-func,4,1,0,24701,tfidf,LinearSVC,0.55,0.5,0.62,0.0,0.57,0.5,0.0,0.0,0.73
4-1-0 char-word-func,4,1,0,24701,tfidf,SVC,0.55,0.5,0.64,0.0,0.57,0.5,0.0,0.0,0.73
4-1-0 char-word-func,4,1,0,24701,tfidf,DecisionTreeClassifier,0.6,0.6,0.6,0.56,0.66,0.65,0.65,0.6,0.7
4-1-0 char-word-func,4,1,0,24701,tfidf,RandomForestClassifier,0.58,0.54,0.7,0.16,0.6,0.54,0.81,0.13,0.74
4-1-0 char-word-func,4,1,0,24701,tfidf,MultinomialNB,0.55,0.51,0.6,0.19,0.58,0.51,0.77,0.05,0.73
4-1-0 char-word-func,4,1,0,24701,tfidf,BernoulliNB,0.57,0.59,0.63,0.63,0.63,0.66,0.73,0.66,0.61
4-1-0 char-word-func,4,1,0,24701,tfidf,AdaBoostClassifier,0.65,0.64,0.73,0.58,0.72,0.71,0.79,0.66,0.77
4-1-0 char-word-func,4,1,0,24701,norm,LogisticRegression,0.65,0.64,0.72,0.56,0.8,0.76,0.87,0.69,0.85
4-1-0 char-word-func,4,1,0,24701,norm,LinearSVC,0.66,0.66,0.75,0.62,0.82,0.8,0.0,0.76,0.86
4-1-0 char-word-func,4,1,0,24701,norm,SVC,0.67,0.66,0.75,0.6,0.77,0.74,0.0,0.65,0.83
4-1-0 char-word-func,4,1,0,24701,norm,DecisionTreeClassifier,0.65,0.65,0.65,0.61,0.66,0.64,0.64,0.56,0.72
4-1-0 char-word-func,4,1,0,24701,norm,RandomForestClassifier,0.58,0.54,0.69,0.15,0.59,0.52,0.79,0.09,0.74
